信息来源地址,公司名称,联系电话,公司邮箱,公司网站,iF奖获得情况
https://ifworlddesignguide.com/profile/779-thonet,Thonet,Phone +49 6451-508-0,info@thonet.de,,
https://ifworlddesignguide.com/profile/779-thonet,Thonet,Phone +49 6451-508-0,info@thonet.de,,
https://ifworlddesignguide.com/profile/511-rosenthal,Rosenthal,Phone 09287/72369,iris.reichstein@rosenthal.de,http://www.rosenthal.de,"TOP 100,of 1547,TOP 100,Germany,2016 - 2020,TOP 100,of 2673,TOP 100,Europe,2016 - 2020,TOP 100,of 4610,TOP 100,Companies,2016 - 2020||TOP 100,of 1547,TOP 100,Germany,2016 - 2020,TOP 100,of 2673,TOP 100,Europe,2016 - 2020,TOP 100,of 4610,TOP 100,Companies,2016 - 2020||TOP 100,of 1547,TOP 100,Germany,2016 - 2020,TOP 100,of 2673,TOP 100,Europe,2016 - 2020,TOP 100,of 4610,TOP 100,Companies,2016 - 2020||"
https://ifworlddesignguide.com/profile/2390-fissler-gmbh,Fissler GmbH,Phone +49 6781 403 167,andre.koch@fissler.de,,
https://ifworlddesignguide.com/profile/511-rosenthal,Rosenthal,Phone 09287/72369,iris.reichstein@rosenthal.de,http://www.rosenthal.de,"TOP 100,of 1547,TOP 100,Germany,2016 - 2020,TOP 100,of 2673,TOP 100,Europe,2016 - 2020,TOP 100,of 4610,TOP 100,Companies,2016 - 2020||TOP 100,of 1547,TOP 100,Germany,2016 - 2020,TOP 100,of 2673,TOP 100,Europe,2016 - 2020,TOP 100,of 4610,TOP 100,Companies,2016 - 2020||TOP 100,of 1547,TOP 100,Germany,2016 - 2020,TOP 100,of 2673,TOP 100,Europe,2016 - 2020,TOP 100,of 4610,TOP 100,Companies,2016 - 2020||"
https://ifworlddesignguide.com/profile/511-rosenthal,Rosenthal,Phone 09287/72369,iris.reichstein@rosenthal.de,http://www.rosenthal.de,"TOP 100,of 1547,TOP 100,Germany,2016 - 2020,TOP 100,of 2673,TOP 100,Europe,2016 - 2020,TOP 100,of 4610,TOP 100,Companies,2016 - 2020||TOP 100,of 1547,TOP 100,Germany,2016 - 2020,TOP 100,of 2673,TOP 100,Europe,2016 - 2020,TOP 100,of 4610,TOP 100,Companies,2016 - 2020||TOP 100,of 1547,TOP 100,Germany,2016 - 2020,TOP 100,of 2673,TOP 100,Europe,2016 - 2020,TOP 100,of 4610,TOP 100,Companies,2016 - 2020||"
https://ifworlddesignguide.com/profile/3001-zumtobel-lighting,Zumtobel Lighting,Phone +43 664 8089 23640,sophie.hanagarth@zumtobel.com,http://www.zumtobel.com,"BEST OF,of 158,BEST OF,Austria,2016 - 2020,TOP 25,of 369,TOP 25,North America,2016 - 2020,TOP 10,of 234,TOP 10,Lighting,2016 - 2020,TOP 10,of 319,TOP 10,Publications,2016 - 2020||BEST OF,of 158,BEST OF,Austria,2016 - 2020,TOP 25,of 369,TOP 25,North America,2016 - 2020,TOP 10,of 234,TOP 10,Lighting,2016 - 2020,TOP 10,of 319,TOP 10,Publications,2016 - 2020||BEST OF,of 158,BEST OF,Austria,2016 - 2020,TOP 25,of 369,TOP 25,North America,2016 - 2020,TOP 10,of 234,TOP 10,Lighting,2016 - 2020,TOP 10,of 319,TOP 10,Publications,2016 - 2020||BEST OF,of 158,BEST OF,Austria,2016 - 2020,TOP 25,of 369,TOP 25,North America,2016 - 2020,TOP 10,of 234,TOP 10,Lighting,2016 - 2020,TOP 10,of 319,TOP 10,Publications,2016 - 2020||"
https://ifworlddesignguide.com/profile/3001-zumtobel-lighting,Zumtobel Lighting,Phone +43 664 8089 23640,sophie.hanagarth@zumtobel.com,http://www.zumtobel.com,"BEST OF,of 158,BEST OF,Austria,2016 - 2020,TOP 25,of 369,TOP 25,North America,2016 - 2020,TOP 10,of 234,TOP 10,Lighting,2016 - 2020,TOP 10,of 319,TOP 10,Publications,2016 - 2020||BEST OF,of 158,BEST OF,Austria,2016 - 2020,TOP 25,of 369,TOP 25,North America,2016 - 2020,TOP 10,of 234,TOP 10,Lighting,2016 - 2020,TOP 10,of 319,TOP 10,Publications,2016 - 2020||BEST OF,of 158,BEST OF,Austria,2016 - 2020,TOP 25,of 369,TOP 25,North America,2016 - 2020,TOP 10,of 234,TOP 10,Lighting,2016 - 2020,TOP 10,of 319,TOP 10,Publications,2016 - 2020||BEST OF,of 158,BEST OF,Austria,2016 - 2020,TOP 25,of 369,TOP 25,North America,2016 - 2020,TOP 10,of 234,TOP 10,Lighting,2016 - 2020,TOP 10,of 319,TOP 10,Publications,2016 - 2020||"
https://ifworlddesignguide.com/profile/3001-zumtobel-lighting,Zumtobel Lighting,Phone +43 664 8089 23640,sophie.hanagarth@zumtobel.com,http://www.zumtobel.com,"BEST OF,of 158,BEST OF,Austria,2016 - 2020,TOP 25,of 369,TOP 25,North America,2016 - 2020,TOP 10,of 234,TOP 10,Lighting,2016 - 2020,TOP 10,of 319,TOP 10,Publications,2016 - 2020||BEST OF,of 158,BEST OF,Austria,2016 - 2020,TOP 25,of 369,TOP 25,North America,2016 - 2020,TOP 10,of 234,TOP 10,Lighting,2016 - 2020,TOP 10,of 319,TOP 10,Publications,2016 - 2020||BEST OF,of 158,BEST OF,Austria,2016 - 2020,TOP 25,of 369,TOP 25,North America,2016 - 2020,TOP 10,of 234,TOP 10,Lighting,2016 - 2020,TOP 10,of 319,TOP 10,Publications,2016 - 2020||BEST OF,of 158,BEST OF,Austria,2016 - 2020,TOP 25,of 369,TOP 25,North America,2016 - 2020,TOP 10,of 234,TOP 10,Lighting,2016 - 2020,TOP 10,of 319,TOP 10,Publications,2016 - 2020||"
https://ifworlddesignguide.com/profile/2896-bsh-hausgerate-gmbh-brand-siemens,BSH Hausgeräte GmbH / Brand Siemens,Phone +49 89 4590-01,corporate.communications@bshg.com,https://www.siemens-home.bsh-group.com/,"TOP 10,of 1547,TOP 10,Germany,2016 - 2020,TOP 10,of 2673,TOP 10,Europe,2016 - 2020,TOP 10,of 198,TOP 10,Kitchen,2016 - 2020,TOP 25,of 4610,TOP 25,Companies,2016 - 2020||TOP 10,of 1547,TOP 10,Germany,2016 - 2020,TOP 10,of 2673,TOP 10,Europe,2016 - 2020,TOP 10,of 198,TOP 10,Kitchen,2016 - 2020,TOP 25,of 4610,TOP 25,Companies,2016 - 2020||TOP 10,of 1547,TOP 10,Germany,2016 - 2020,TOP 10,of 2673,TOP 10,Europe,2016 - 2020,TOP 10,of 198,TOP 10,Kitchen,2016 - 2020,TOP 25,of 4610,TOP 25,Companies,2016 - 2020||TOP 10,of 1547,TOP 10,Germany,2016 - 2020,TOP 10,of 2673,TOP 10,Europe,2016 - 2020,TOP 10,of 198,TOP 10,Kitchen,2016 - 2020,TOP 25,of 4610,TOP 25,Companies,2016 - 2020||"
